name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d,active
Tomas Martin Etcheverry,2026-04-15,1674.6990406261611,1675.6689142222388,1657.9124355842507,1465.3277893261738,1523.0004132220554,0.701631502098222,0.3684210526315789,0.4564410211267604,0.6429866254609843,0.6277043040722071,0.5642626567154488,-1.0,4.908604345755829,7.073368019500306,True
Alex Bolt,2026-04-25,1669.9512757734497,1669.9512757734497,1433.8625744068395,1485.1041988269012,1493.8626688121583,0.3507936507936507,0.4210526315789473,0.4615384615384615,0.5297860794188768,0.5403818010072543,0.5403818010072543,-1.0,22.64,2.0,True
Tomas Machac,2026-04-17,1667.7745101239325,1708.8276264690162,1582.5155211098795,1493.8227248333656,1596.0411552288533,0.5944497932291667,0.4375,0.457030487804878,0.5469232654220374,0.5094516975119368,0.5579296768,-1.0,9.129094279153062,5.961233610205095,True
Alex Michelsen,2026-04-24,1666.3714882471786,1666.3714882471786,1609.0259496440963,1520.128112085478,1620.43336396198,0.579749149659864,0.5185185185185185,0.539005913778586,0.5196569756391987,0.5300501151519826,0.5300501151519826,-1.0,6.963333034022832,5.320876373027197,True
Alex De Minaur,2026-04-24,1664.0812283850514,1863.252246891768,1509.5153718771762,1631.587297143302,1752.9450300973997,0.5512826223544974,0.6727272727272727,0.6774688722943905,0.5257083861633285,0.536222553886595,0.536222553886595,-1.0,5.01018946291587,7.487923026302169,True
Alexander Zgirovsky,2026-04-27,1662.9949010033586,1662.9949010033586,1551.209383808472,1500.0,1500.0,0.5909090909090909,0.5,0.5,0.5903742732343779,0.573989244163753,0.573989244163753,2.0,30.0,3.0,True
Cameron Norrie,2026-04-17,1661.3198209801103,1777.8954574430315,1618.4651522782074,1581.6427655559544,1596.953101377333,0.6031003270348837,0.6190476190476191,0.5298976923389549,0.5842573621498678,0.5430459310657247,0.528513949106176,-1.0,5.665756958822197,5.974670321692975,True
Alexander Shevchenko,2026-04-27,1658.9386813847402,1658.9386813847402,1546.653148277462,1482.3618474708649,1532.363599789119,0.5352272727272727,0.4,0.5189630048076922,0.5538462110930065,0.5360000595367268,0.5360000595367268,2.0,10.67952343181818,5.438718737279752,True
Alexander Blockx,2026-04-24,1655.551598703921,1655.551598703921,1574.4434540924785,1500.0,1480.9517876227535,0.566142660218254,0.5,0.3855357142857142,0.5361992798255268,0.5469232654220374,0.5469232654220374,-1.0,31.532172500000005,7.245050484630573,True
Karen Khachanov,2026-04-14,1648.5333370173676,1784.1611562732594,1596.1589552779576,1548.2974886326078,1662.258278166654,0.4223846153846153,0.5757575757575758,0.4780963792861963,0.4888982907680682,0.3833360043575358,0.2682830454784,-3.0,7.185659988210724,3.743017896030408,True
